customer_id,age,income_proxy,employment_type,credit_score_band,acquisition_channel,loan_product,loan_amount,tenure_months,interest_rate,origination_risk_grade,repayment_behavior,delinquency_status,partial_payment_flag,cashflow_volatility,acquisition_cost,approval_turnaround_days,origination_date,default_indicator,customer_lifetime_value
31,58,Medium,Salaried,Poor,Direct mail,BNPL,26325.488077146518,3,0.22,E,On time,0,0,Low,15,2.2380455198021454,2025-11-05,0,971.1130130590063
32,28,Medium,Salaried,Good,Partner referral,BNPL,27743.665737145275,3,0.13,C,On time,0,0,Low,25,4.609762218685713,2030-10-19,0,603.2717271769179
33,42,Medium,Salaried,Good,Partner referral,Personal loan,112551.05415493924,24,0.16999999999999998,C,On time,0,0,Low,25,3.475288499528138,2032-03-25,0,21003.640468169717
34,30,Medium,Salaried,Good,Direct mail,SME working capital,172639.63739461015,12,0.15,C,On time,0,0,Medium,15,4.828978229806516,2047-03-05,0,14346.310386798752
35,60,Low,Salaried,Fair,Digital ad,BNPL,14794.162963565703,3,0.17,D,Default,2,1,Medium,8,1.7528928992019805,2051-05-03,1,-9934.780674225289
36,39,Medium,Business,Fair,Digital ad,Personal loan,93972.02452037254,3,0.19,D,Default,1,1,Low,8,0.9299706941077213,2047-02-01,1,-62789.05455725339
37,25,Low,Self-employed,Poor,Partner referral,Personal loan,25793.596066048933,6,0.24,E,On time,0,0,High,25,5.191535705803765,2025-02-03,0,1835.3400783758661
38,46,Low,Salaried,Poor,Direct mail,SME working capital,83292.3817835775,6,0.24,E,Default,1,1,Medium,15,4.69490242700922,2027-05-13,1,-52378.00831659982
39,35,High,Self-employed,Good,Digital ad,Personal loan,408611.3152669596,6,0.15,C,On time,0,0,Medium,8,0.8889119009878976,2061-12-19,0,18061.789286487387
40,30,Medium,Salaried,Good,Digital ad,Personal loan,26581.927872080334,24,0.16999999999999998,C,Late 1-15 days,0,0,Low,8,1.4491059705276075,2039-01-29,0,4960.568873992128
41,47,High,Salaried,Good,Partner referral,SME working capital,321329.5029814722,12,0.15,C,On time,0,0,Low,25,6.751771958662906,2050-03-20,0,26702.40076831798
42,23,Low,Business,Fair,Digital ad,BNPL,12179.367212940413,3,0.17,D,Default,2,1,Medium,8,1.7008697586249637,2037-02-25,1,-8178.856911972947
43,41,Medium,Salaried,Good,Direct mail,SME working capital,259916.86639639287,12,0.15,C,Default,2,1,Medium,15,2.298185185955648,2052-11-13,1,-160342.78034210633
44,49,Low,Self-employed,Poor,Partner referral,Personal loan,15336.407369359607,6,0.24,E,Default,1,1,High,25,3.0837685859973183,2034-04-15,1,-9644.225024400279
45,28,Medium,Salaried,Poor,Partner referral,Personal loan,65348.67147576168,3,0.24,E,Default,2,1,High,25,3.726153858238418,2058-06-14,1,-43112.86996313095
46,29,Medium,Salaried,Fair,Direct mail,Personal loan,82760.00115930944,3,0.19,D,On time,0,0,High,15,6.177752601198122,2062-08-26,0,2634.456095709378
47,56,Low,Self-employed,Poor,Direct mail,Personal loan,31529.994769956927,6,0.24,E,Default,1,1,Medium,15,5.101246520101482,2023-05-30,1,-19827.483533539315
48,35,High,Salaried,Excellent,Digital ad,Personal loan,460718.58064225566,24,0.15,A,On time,0,0,Low,8,1.4672000993300338,2055-02-18,0,75410.2113967507
49,38,Low,Business,Good,Digital ad,Personal loan,41208.468282934286,24,0.16999999999999998,C,Default,1,1,High,8,1.3312076407422044,2024-01-23,1,-21155.83676730071
50,57,Medium,Salaried,Good,Digital ad,Personal loan,69902.18526800259,24,0.16999999999999998,C,On time,0,0,Low,8,0.8219530842393444,2033-10-21,0,13044.750032170923
51,25,High,Salaried,Good,Direct mail,Personal loan,407193.5449647227,6,0.15,C,On time,0,0,Medium,15,2.6311863714937616,2059-09-11,0,17999.119782489666
52,23,High,Business,Good,Direct mail,Personal loan,433063.1962914167,12,0.15,C,On time,0,0,Medium,15,2.9957216146291032,2026-10-05,0,35987.442541337165
53,27,High,Business,Excellent,Partner referral,SME working capital,617869.9256396675,6,0.13,A,On time,0,0,Low,25,4.579197917867191,2030-11-24,0,23637.914420474437
54,25,Medium,Salaried,Good,Direct mail,SME working capital,156411.6349796817,24,0.16999999999999998,C,On time,0,0,Medium,15,5.636973656468138,2061-06-12,0,29188.6537253517
55,50,Low,Salaried,Poor,Digital ad,SME working capital,95445.76416788089,6,0.24,E,Default,2,1,Medium,8,1.9513338832562792,2054-02-07,1,-60020.60359324698
56,39,Low,Self-employed,Good,Direct mail,Personal loan,48301.36530917822,6,0.15,C,Late 15-30 days,0,0,Medium,15,6.959160710171005,2031-03-11,0,2135.0585504320916
57,47,Medium,Salaried,Poor,Digital ad,Personal loan,53073.900057394334,6,0.24,E,On time,0,0,Low,8,0.5973069038458712,2054-09-30,0,3776.4666718676817
58,55,Medium,Salaried,Good,Digital ad,Personal loan,123133.2637569928,12,0.15,C,Default,2,1,Low,8,1.9805328515302265,2051-12-21,1,-75960.94142380035
59,31,Low,Self-employed,Fair,Direct mail,Personal loan,6878.959637594817,3,0.19,D,Default,2,1,Medium,15,3.8076448432375205,2063-09-15,1,-4596.297400067683
60,57,Medium,Salaried,Good,Digital ad,Personal loan,25298.33049935242,12,0.15,C,On time,0,0,Medium,8,1.9932744781049556,2062-06-29,0,2102.2848929063985
61,35,Medium,Salaried,Excellent,Partner referral,Personal loan,68946.65915795017,6,0.13,A,Default,1,1,Low,25,5.521919731896415,2031-04-13,1,-45624.96185419653
62,52,Medium,Salaried,Excellent,Direct mail,BNPL,14951.076495278743,3,0.11,A,On time,0,0,Medium,15,5.985452793582908,2023-09-09,0,274.93677925261727
63,36,Medium,Business,Good,Partner referral,SME working capital,225242.55137680954,12,0.15,C,Default,1,1,Low,25,6.2726464237659005,2056-04-03,1,-138952.1866735178
64,29,Medium,Self-employed,Good,Direct mail,Personal loan,72283.0642893865,12,0.15,C,On time,0,0,Medium,15,2.8215149460322375,2054-04-26,0,6006.704437371824
65,35,High,Self-employed,Fair,Partner referral,Personal loan,151519.16226127508,6,0.19,D,On time,0,0,High,25,4.160135891482761,2042-06-02,0,8506.591868063144
66,44,Low,Salaried,Fair,Direct mail,Personal loan,20515.61884083839,6,0.19,D,On time,0,0,Medium,15,3.318900840275321,2025-07-21,0,1151.7882873377166
67,42,Medium,Salaried,Excellent,Partner referral,Personal loan,127728.22414479576,12,0.13,A,On time,0,0,Low,25,2.5455227429546374,2042-10-05,0,9171.820000558713
68,37,Low,Salaried,Fair,Partner referral,Personal loan,20106.947999741198,6,0.19,D,On time,0,0,High,25,2.9694174128311577,2033-02-01,0,1128.8446807224827
69,39,Low,Salaried,Poor,Partner referral,Personal loan,31653.66264958226,3,0.24,E,On time,0,0,High,25,2.346756347796343,2045-11-29,0,1274.5036355809389
70,45,Medium,Salaried,Fair,App store,SME working capital,262241.08413791866,3,0.19,D,On time,0,0,Low,5,1.0783378406936508,2048-12-13,0,8347.7841103783
71,47,High,Salaried,Good,Digital ad,BNPL,22508.23307377846,3,0.13,C,Late 15-30 days,0,0,Low,8,0.8266003519820253,2055-02-06,0,489.4299394596201
72,46,Low,Self-employed,Poor,Partner referral,SME working capital,59038.96442403005,3,0.24,E,Default,2,1,High,25,4.288980361625502,2043-04-23,1,-38950.12918380762
73,50,Medium,Self-employed,Fair,Digital ad,Personal loan,40714.022204820045,6,0.19,D,On time,0,0,Low,8,1.1432107304070558,2051-10-05,0,2285.767456966605
74,36,Medium,Salaried,Fair,Digital ad,SME working capital,322639.76290021953,3,0.19,D,On time,0,0,Medium,8,1.408311589538037,2051-10-16,0,10270.423854327062
75,22,Low,Self-employed,Poor,App store,Personal loan,16713.89844827204,6,0.24,E,On time,0,0,Medium,5,1.9384018416490927,2059-12-27,0,1189.2753383230302
76,46,High,Self-employed,Fair,Digital ad,BNPL,11490.764904020263,6,0.17,D,On time,0,0,Medium,8,1.9310740198284977,2042-08-21,0,576.4286330797077
77,28,Medium,Salaried,Excellent,Partner referral,Personal loan,121722.28848107725,12,0.13,A,On time,0,0,Medium,25,6.398178936615778,2032-02-11,0,8740.549925276704
78,30,Low,Salaried,Fair,Digital ad,BNPL,23378.666844482315,3,0.17,D,On time,0,0,Low,8,0.9116995862904024,2036-10-02,0,665.501487732683
79,45,Medium,Self-employed,Good,Direct mail,Personal loan,137048.23668511986,12,0.15,C,Late 15-30 days,0,0,High,15,6.429378256129094,2029-01-23,0,11388.673951823148
80,22,Medium,Salaried,Good,Direct mail,BNPL,2944.9487195946795,6,0.13,C,On time,0,0,Medium,15,2.31112563136215,2029-01-25,0,112.66521142681722
81,29,Medium,Salaried,Fair,Digital ad,Personal loan,134313.8311612723,3,0.19,D,On time,0,0,Low,8,1.4776163431805966,2063-07-05,0,4275.542366894835
82,45,Medium,Salaried,Good,Partner referral,Personal loan,124028.18428510561,12,0.15,C,On time,0,0,Medium,25,5.243733764638645,2030-10-30,0,10306.710876587807
83,32,Low,Salaried,Good,Digital ad,BNPL,16702.654025075837,6,0.13,C,On time,0,0,High,8,0.6649573816523924,2034-01-07,0,638.9951833806954
84,38,Medium,Business,Poor,Digital ad,BNPL,6465.603830408989,3,0.22,E,On time,0,0,Medium,8,1.3663345105249198,2030-07-23,0,238.50771535913373
85,29,Low,Self-employed,Poor,Direct mail,BNPL,17259.82376280152,3,0.22,E,On time,0,0,High,15,2.6657807915397855,2032-01-04,0,636.6924483999319
86,56,High,Salaried,Excellent,Digital ad,Personal loan,177577.34594622848,12,0.13,A,On time,0,0,Low,8,1.9391860493859994,2050-07-01,0,12751.351270251791
87,56,Medium,Business,Fair,Direct mail,SME working capital,340363.19619072764,3,0.19,D,On time,0,0,Low,15,4.351041945909984,2030-03-11,0,10834.60469307797
88,54,Low,Self-employed,Good,Digital ad,SME working capital,76704.9929941207,12,0.15,C,On time,0,0,Medium,8,1.7136585168075797,2035-08-15,0,6374.165599036627
89,26,High,Self-employed,Excellent,Digital ad,Personal loan,338494.4426242991,6,0.13,A,On time,0,0,High,8,1.2393994222179394,2059-05-15,0,12949.817323242896
90,60,Low,Salaried,Poor,Digital ad,SME working capital,85069.08935397735,6,0.24,E,On time,0,0,Low,8,0.7825964570587174,2057-02-23,0,6053.080335231003
91,49,Medium,Salaried,Fair,Digital ad,Personal loan,91555.90174469948,3,0.19,D,Default,1,1,Medium,8,0.6749915726718431,2055-02-21,1,-61174.67979462529
92,28,Medium,Salaried,Good,Partner referral,Personal loan,32532.478939807865,12,0.15,C,Late 15-30 days,0,0,High,25,3.7215073661377596,2041-03-28,0,2703.440806329265
93,30,Low,Salaried,Poor,Digital ad,Personal loan,16656.33094642619,6,0.24,E,On time,0,0,Medium,8,1.9085207983559247,2061-03-01,0,1185.179129982047
94,29,High,Salaried,Excellent,App store,Personal loan,492675.0207035305,24,0.15,A,On time,0,0,High,5,0.55924336517339,2043-02-24,0,80640.82722550444
95,33,Medium,Salaried,Poor,App store,Personal loan,131351.62325609097,3,0.24,E,Default,2,1,Low,5,1.0060895568718409,2031-10-10,1,-86657.39218564602
96,55,Low,Salaried,Excellent,Partner referral,BNPL,27968.455163439565,3,0.11,A,Default,2,1,Medium,25,4.571443687807971,2055-03-06,1,-19063.604010657557
97,54,Medium,Salaried,Fair,Partner referral,Personal loan,37228.876418863016,3,0.19,D,Default,2,1,Medium,25,4.564458759858548,2039-10-10,1,-24875.126022877852
98,44,Medium,Self-employed,Good,App store,SME working capital,143199.55163263023,24,0.16999999999999998,C,On time,0,0,High,5,0.8290843193696353,2063-01-20,0,26723.089537254942
99,45,High,Salaried,Poor,Direct mail,Personal loan,125296.17824393844,3,0.24,E,On time,0,0,Low,15,4.001016499854351,2030-05-02,0,5044.927548010106
100,58,Medium,Self-employed,Fair,Digital ad,SME working capital,301095.2000294894,3,0.19,D,Default,1,1,Medium,8,0.5900218322078639,2033-02-25,1,-201182.03303665278
101,56,Medium,Self-employed,Good,Direct mail,SME working capital,122822.6004202902,6,0.15,C,On time,0,0,High,15,5.908270504345017,2050-05-06,0,5429.110368518217
102,43,Medium,Salaried,Poor,Digital ad,SME working capital,187764.50235346338,3,0.24,E,On time,0,0,High,8,1.89822416073977,2030-09-06,0,7560.153260358697
103,48,Medium,Salaried,Fair,Digital ad,Personal loan,58687.750732609406,6,0.19,D,On time,0,0,Low,8,1.2710901780302808,2026-12-24,0,3294.848887007902
104,56,Medium,Business,Fair,Partner referral,BNPL,28050.00903833481,3,0.17,D,On time,0,0,Medium,25,5.769620529392412,2062-06-26,0,798.4767852719924
105,22,Low,Salaried,Fair,Direct mail,SME working capital,68670.4159640419,3,0.19,D,Default,2,1,High,15,5.052607018340271,2050-05-18,1,-45883.34152044101
106,56,Medium,Self-employed,Good,Digital ad,BNPL,24386.12035918787,3,0.13,C,Late 1-15 days,0,0,High,8,0.9435278087075512,2029-05-08,0,530.2636316200515
107,58,Medium,Self-employed,Good,Digital ad,SME working capital,240588.80793671226,12,0.15,C,On time,0,0,Low,8,1.6887736548333006,2061-01-03,0,19992.869345297542
108,35,High,Salaried,Fair,Direct mail,BNPL,19151.42060937927,3,0.17,D,On time,0,0,Low,15,4.290667122251328,2057-07-09,0,545.1679085261603
109,24,Low,Salaried,Poor,Direct mail,BNPL,12721.568948317163,3,0.22,E,Default,2,1,Low,15,6.6505151510349565,2043-01-29,1,-8435.816132526494
110,22,Medium,Salaried,Fair,Partner referral,Personal loan,54875.038847345015,3,0.19,D,On time,0,0,Low,25,5.029726775730734,2032-12-30,0,1746.808585893974
111,26,High,Business,Excellent,Partner referral,SME working capital,478709.5733803474,12,0.13,A,On time,0,0,Medium,25,3.667077497576117,2029-04-07,0,34374.846037250594
112,47,Medium,Self-employed,Excellent,Direct mail,Personal loan,61857.51402875631,24,0.15,A,On time,0,0,Low,15,6.41261541775744,2032-12-02,0,10124.81025376331
113,35,High,Business,Good,Partner referral,BNPL,21354.33499975823,6,0.13,C,On time,0,0,Low,25,5.094014481942727,2060-04-14,0,816.9550293418906
114,60,High,Salaried,Excellent,Digital ad,Personal loan,269025.68698212504,12,0.13,A,Default,2,1,Low,8,1.0836473681749137,2036-05-10,1,-168999.97037690895
115,48,Medium,Salaried,Good,Partner referral,SME working capital,226295.0524308661,6,0.15,C,On time,0,0,High,25,5.565330536571321,2027-09-10,0,10002.888811120007
116,30,Medium,Salaried,Fair,App store,Personal loan,121367.68657860749,6,0.19,D,On time,0,0,High,5,1.787765021958535,2062-09-18,0,6813.827111286038
117,36,Low,Business,Poor,Direct mail,SME working capital,41324.4078119622,6,0.24,E,On time,0,0,Medium,15,2.114548779226684,2032-10-29,0,2940.433031448214
118,36,Medium,Salaried,Fair,Partner referral,Personal loan,77956.2031384868,6,0.19,D,On time,0,0,Low,25,3.485378822453251,2048-12-01,0,4376.618731163719
119,47,Low,Salaried,Poor,Digital ad,BNPL,16545.641673551057,6,0.22,E,On time,0,0,High,8,0.8336774753570373,2037-02-11,0,1077.7486028900094
120,34,Medium,Business,Good,Direct mail,Personal loan,31725.896487700862,6,0.15,C,On time,0,0,Medium,15,3.6039789631665577,2057-06-25,0,1402.3754014530568
121,53,Medium,Salaried,Good,Partner referral,Personal loan,44023.33190181796,12,0.15,C,On time,0,0,Low,25,6.183741256825609,2060-06-08,0,3658.327793407756
122,60,Medium,Salaried,Good,Digital ad,Personal loan,32938.82748091727,12,0.15,C,On time,0,0,Medium,8,1.128497722946399,2033-01-17,0,2737.2082677532817
123,53,Low,Salaried,Poor,Digital ad,Personal loan,38851.55344531667,3,0.24,E,Late 15-30 days,0,0,Medium,8,1.0088308074910892,2062-03-21,0,1564.3196385261472
124,25,High,Salaried,Excellent,Direct mail,Personal loan,219963.39579820127,6,0.13,A,On time,0,0,High,15,4.890176829216244,2060-01-11,0,8415.162657628825
125,51,Low,Business,Fair,Digital ad,Personal loan,24016.706159512833,3,0.19,D,On time,0,0,High,8,0.8834966367914419,2045-12-15,0,764.5113225529749
126,58,Low,Salaried,Fair,Partner referral,Personal loan,35254.60011528366,6,0.19,D,On time,0,0,High,25,5.278797494906661,2061-11-27,0,1979.2644717462026
127,44,Low,Salaried,Excellent,Partner referral,BNPL,29061.14700413414,3,0.11,A,On time,0,0,High,25,2.1698833625062863,2035-01-05,0,534.4082187812055
128,60,High,Salaried,Good,Partner referral,Personal loan,424418.2422692042,24,0.16999999999999998,C,Late 1-15 days,0,0,Low,25,3.7489892834041982,2047-12-24,0,79202.52933822665
129,36,High,Salaried,Good,Partner referral,BNPL,3618.388668303729,3,0.13,C,On time,0,0,Medium,25,4.420606113319678,2044-08-12,0,78.67999860603777
130,50,Medium,Salaried,Good,Partner referral,Personal loan,63216.7405573314,12,0.15,C,On time,0,0,Low,25,4.640502692200662,2027-01-29,0,5253.29521866524
131,57,High,Salaried,Excellent,Digital ad,BNPL,3374.1616686768393,6,0.11,A,On time,0,0,Medium,8,0.5950883459243064,2027-05-26,0,109.07748709989846
132,34,Low,Self-employed,Poor,Partner referral,SME working capital,24933.465307281323,6,0.24,E,Default,2,1,Medium,25,6.1511868192536125,2046-07-13,1,-15679.288132494345
133,53,High,Salaried,Excellent,Digital ad,BNPL,5568.769020487614,3,0.11,A,Default,1,1,Low,8,1.0800140278383172,2046-05-08,1,-3795.7336868632965
134,28,Low,Self-employed,Good,Digital ad,Personal loan,19448.68143751397,12,0.15,C,Default,2,1,High,8,1.1726196573813965,2026-11-03,1,-11997.89647711058
135,43,Low,Salaried,Fair,Partner referral,BNPL,8481.976976904713,3,0.17,D,Late 15-30 days,0,1,High,25,6.772405409951252,2048-09-13,0,241.44953750332206
136,49,Low,Self-employed,Poor,Partner referral,Personal loan,20847.861395609187,3,0.24,E,Default,1,1,Low,25,5.554974014147164,2032-08-20,1,-13754.08431511347
137,23,Medium,Salaried,Good,Direct mail,SME working capital,301052.7508474358,12,0.15,C,Default,2,1,Low,15,5.517045810850953,2032-01-11,1,-185719.51782036098
138,27,Medium,Salaried,Fair,Direct mail,SME working capital,294363.2280952001,3,0.19,D,Default,1,1,Low,15,4.794870569255366,2025-10-03,1,-196683.94804574834
139,49,Medium,Business,Fair,Digital ad,BNPL,11820.688839205959,3,0.17,D,On time,0,0,Low,8,1.93139922642967,2030-08-23,0,336.4899316478095
140,49,High,Salaried,Excellent,Digital ad,Personal loan,363928.49768065696,12,0.13,A,On time,0,0,Medium,8,1.9825262613145551,2030-05-28,0,26132.725919815653
141,41,Medium,Salaried,Good,Digital ad,Personal loan,71582.9597767177,12,0.15,C,Late 15-30 days,0,1,Medium,8,1.028004383079244,2038-05-15,0,5948.52592869605
142,51,Low,Salaried,Poor,Digital ad,Personal loan,22368.066110349526,3,0.24,E,Default,1,1,Low,8,1.3860510937908912,2061-05-31,1,-14757.018065775075
143,32,Medium,Salaried,Fair,Partner referral,BNPL,20920.227657891242,3,0.17,D,On time,0,0,Low,25,2.0868541002483503,2038-07-24,0,595.519099641002
144,49,Medium,Salaried,Good,Digital ad,Personal loan,73040.21069588928,6,0.15,C,On time,0,0,Medium,8,1.658350456156974,2056-08-22,0,3228.586301306641
145,46,High,Salaried,Good,Partner referral,Personal loan,319703.90631737397,6,0.15,C,On time,0,0,Low,25,6.377242005222218,2037-10-14,0,14131.827421858557
146,60,Medium,Self-employed,Good,Direct mail,Personal loan,39403.24669956591,24,0.16999999999999998,C,On time,0,0,Low,15,4.807303874709614,2029-06-15,0,7353.210799935965
147,54,Medium,Self-employed,Good,Direct mail,Personal loan,92351.65119701724,6,0.15,C,Late 1-15 days,0,0,Low,15,2.854159649885547,2063-03-12,0,4082.2072269093187
148,22,Low,Self-employed,Fair,Direct mail,Personal loan,38389.97565611535,3,0.19,D,Default,1,1,High,15,4.059762372675527,2023-10-18,1,-25650.934820510134
149,48,Medium,Salaried,Excellent,Direct mail,BNPL,26874.403848514736,6,0.11,A,On time,0,0,High,15,5.172719782408578,2057-04-26,0,868.7765219777793
150,34,High,Salaried,Excellent,Digital ad,Personal loan,158903.49850283595,24,0.15,A,On time,0,0,Medium,8,1.806777336367631,2039-03-06,0,26009.253625233687
151,24,Low,Self-employed,Poor,Direct mail,Personal loan,23481.989212597706,3,0.24,E,Default,1,1,Low,15,5.15055588055734,2060-10-31,1,-15491.913217759397
152,60,High,Salaried,Good,Digital ad,Personal loan,294473.8103149226,12,0.15,C,On time,0,0,Low,8,1.590006543194182,2041-01-20,0,24470.69947155181
153,27,Medium,Self-employed,Fair,Digital ad,BNPL,27334.736214771554,6,0.17,D,On time,0,0,High,8,1.2613475001488192,2023-03-30,0,1371.2337484480631
154,29,Low,Salaried,Poor,Digital ad,BNPL,9207.435411920917,6,0.22,E,Default,2,1,High,8,1.2879383737916583,2058-08-03,1,-5845.451642036596
155,48,High,Salaried,Good,Digital ad,BNPL,6638.564021749212,6,0.13,C,On time,0,0,Low,8,0.8133381735508214,2029-02-10,0,253.97223866898912
156,30,Medium,Self-employed,Fair,Partner referral,BNPL,5961.742016304366,3,0.17,D,On time,0,0,High,25,4.240848666822309,2045-08-26,0,169.7080593911378
157,58,Medium,Self-employed,Poor,Digital ad,BNPL,6336.628402930411,3,0.22,E,On time,0,0,Medium,8,1.1938982271546463,2048-07-10,0,233.74997960045494
158,54,Low,Self-employed,Poor,App store,Personal loan,44128.58572481978,6,0.24,E,On time,0,0,High,5,0.583992932866924,2044-10-21,0,3139.9639575426263
159,45,Low,Business,Poor,Direct mail,BNPL,19354.602333397015,3,0.22,E,Late 1-15 days,0,0,High,15,6.183817826135934,2047-09-29,0,713.9661051473777
160,36,High,Self-employed,Poor,App store,Personal loan,268291.0785957146,3,0.24,E,On time,0,0,High,5,1.4334773254596958,2054-03-27,0,10802.476757572906
161,53,Medium,Salaried,Good,Direct mail,Personal loan,133342.23812924678,24,0.16999999999999998,C,Late 15-30 days,0,1,Low,15,2.3307452326319202,2045-12-22,0,24883.573502850748
162,53,High,Business,Good,App store,Personal loan,219211.4920480885,24,0.16999999999999998,C,Default,1,1,Medium,5,1.8678199042918229,2055-03-03,1,-112540.03695173434
163,45,Low,Self-employed,Good,Digital ad,Personal loan,46753.71190764704,24,0.16999999999999998,C,On time,0,0,High,8,1.3824950990535319,2025-11-22,0,8724.91299911568
164,33,Low,Self-employed,Poor,Partner referral,Personal loan,39148.560021957375,3,0.24,E,Default,1,1,Low,25,4.001079264801669,2025-06-22,1,-25827.71369876273
165,60,Low,Salaried,Good,Digital ad,BNPL,2576.222985776519,3,0.13,C,Default,2,1,High,8,0.7514128652113081,2061-12-07,1,-1747.3374476281363
166,23,Medium,Business,Poor,Partner referral,Personal loan,82829.14932310209,3,0.24,E,Default,2,1,Medium,25,3.5292728480028472,2060-04-22,1,-54645.370185500535
